Section,Glucose_gL,Parameter,Value
PBR_O2,0,Avg_O2_rate_mg_L_day,105.4228945441463
PBR_O2,0,Peak_O2_rate_mg_L_day,216.49499372395073
PBR_O2,0,PBR_volume_L_per_crew,7967.908713113984
PBR_O2,1,Avg_O2_rate_mg_L_day,441.43433399819946
PBR_O2,1,Peak_O2_rate_mg_L_day,717.666272108038
PBR_O2,1,PBR_volume_L_per_crew,1902.8877803678638
PBR_O2,2,Avg_O2_rate_mg_L_day,384.25751700257285
PBR_O2,2,Peak_O2_rate_mg_L_day,598.6065566756415
PBR_O2,2,PBR_volume_L_per_crew,2186.034008007124
PBR_O2,5,Avg_O2_rate_mg_L_day,482.624653721852
PBR_O2,5,Peak_O2_rate_mg_L_day,735.9790004410232
PBR_O2,5,PBR_volume_L_per_crew,1740.48298925921
PBR_O2,10,Avg_O2_rate_mg_L_day,378.9527795879577
PBR_O2,10,Peak_O2_rate_mg_L_day,677.1244974172118
PBR_O2,10,PBR_volume_L_per_crew,2216.6350142974206
Nutrition,0,DW,0.3548319414292348
Nutrition,0,prot_daily,0.017564181100747128
Nutrition,0,carb_daily,0.0061208509896543
Nutrition,0,lipid_daily,0.0039741177440074296
Nutrition,0,vol_prot,4184.652821467067
Nutrition,0,vol_carb,49012.79258506238
Nutrition,0,vol_lipid,17613.972335256793
Nutrition,0,f_prot,0.49500000000000005
Nutrition,0,f_carb,0.1725
Nutrition,0,f_lipid,0.11199999999999999
Nutrition,1,DW,1.0287312134004232
Nutrition,1,prot_daily,0.04721876269507943
Nutrition,1,carb_daily,0.020703215669683514
Nutrition,1,lipid_daily,0.01645969941440677
Nutrition,1,vol_prot,1556.5846245195935
Nutrition,1,vol_carb,14490.502576336541
Nutrition,1,vol_lipid,4252.811563419604
Nutrition,1,f_prot,0.459
Nutrition,1,f_carb,0.20124999999999998
Nutrition,1,f_lipid,0.16
Nutrition,2,DW,1.3606952441746725
Nutrition,2,prot_daily,0.060006660268103064
Nutrition,2,carb_daily,0.02973119108521659
Nutrition,2,lipid_daily,0.025399644557927217
Nutrition,2,vol_prot,1224.8640346189939
Nutrition,2,vol_carb,10090.413099836107
Nutrition,2,vol_lipid,2755.944077892737
Nutrition,2,f_prot,0.44100000000000006
Nutrition,2,f_carb,0.21849999999999997
Nutrition,2,f_lipid,0.18666666666666665
Nutrition,5,DW,1.9409345934133218
Nutrition,5,prot_daily,0.08110333836762809
Nutrition,5,carb_daily,0.047431589126538054
Nutrition,5,lipid_daily,0.04347693489245841
Nutrition,5,vol_prot,906.2512281163642
Nutrition,5,vol_carb,6324.898775785471
Nutrition,5,vol_lipid,1610.0491024297653
Nutrition,5,f_prot,0.41785714285714287
Nutrition,5,f_carb,0.24437499999999998
Nutrition,5,f_lipid,0.22399999999999998
Nutrition,10,DW,2.379661094004336
Nutrition,10,prot_daily,0.09637627430717563
Nutrition,10,carb_daily,0.062100002010843924
Nutrition,10,lipid_daily,0.05863484935626683
Nutrition,10,vol_prot,762.6358305337355
Nutrition,10,vol_carb,4830.917717967447
Nutrition,10,vol_lipid,1193.8292801722441
Nutrition,10,f_prot,0.4050000000000001
Nutrition,10,f_carb,0.26096153846153847
Nutrition,10,f_lipid,0.24639999999999998
Optimization,0,O2_rate,105.4228945441463
Optimization,0,prot_quality,49.50000000000001
Optimization,0,total_nutrition,0.027659149834408855
Optimization,0,O2_rate_norm,0.0
Optimization,0,prot_quality_norm,1.0
Optimization,0,total_nutrition_norm,0.0
Optimization,1,O2_rate,441.43433399819946
Optimization,1,prot_quality,45.9
Optimization,1,total_nutrition,0.0843816777791697
Optimization,1,O2_rate_norm,0.8908002979269057
Optimization,1,prot_quality_norm,0.5999999999999991
Optimization,1,total_nutrition_norm,0.29940320069663473
Optimization,2,O2_rate,384.25751700257285
Optimization,2,prot_quality,44.10000000000001
Optimization,2,total_nutrition,0.11513749591124688
Optimization,2,O2_rate_norm,0.7392187752949031
Optimization,2,prot_quality_norm,0.40000000000000013
Optimization,2,total_nutrition_norm,0.4617441738943574
Optimization,5,O2_rate,482.624653721852
Optimization,5,prot_quality,41.785714285714285
Optimization,5,total_nutrition,0.17201186238662455
Optimization,5,O2_rate_norm,1.0
Optimization,5,prot_quality_norm,0.14285714285714196
Optimization,5,total_nutrition_norm,0.7619488364387439
Optimization,10,O2_rate,378.9527795879577
Optimization,10,prot_quality,40.50000000000001
Optimization,10,total_nutrition,0.2171111256742864
Optimization,10,O2_rate_norm,0.7251553800812132
Optimization,10,prot_quality_norm,0.0
Optimization,10,total_nutrition_norm,1.0
Recommendation,5,Max O₂ (life support priority),0.866675481573463
Recommendation,0,Max protein (crew health),0.6
Recommendation,5,Balanced BLSS,0.6714417937887658
Control,-1,prediction_speed_per_s,176158.1685832278
Control,-1,per_prediction_us,5.676716601010412
Control,-1,orbital_factor,1.0
