参数,值,标准误,单位
μ₀,0.12018201831802995,0.06354662565627403,d⁻¹
μ_S,0.4994360640870725,0.23649449740371556,d⁻¹
K_S,0.5194570979264889,1.2144185987599354,g/L
K₀,22459382.532874733,14899998.508765161,cells/mL
K_max,106791927.3416147,30904458.61206857,cells/mL
S_K,4.655192399983224,4.8652213140822,g/L
f₀,0.9248932922204651,0.14857137345163757,
f₁,1.4999999999999998,0.5388938526402308,
f₂,1.4999999999999998,0.5012458918836525,
f₅,1.4999999999999998,0.6712601201065671,
f₁₀,1.3755480475986812,0.7243766499883063,
